data_house
Listing Number,Type of Property,Lifestyle,Listing Date,Erf Size,Floor Size,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Bathrooms,Kitchen,Garage,Parking,Parking,Parking,Garden,Pool,Style,Facing,Roof,Wall,Floor,Security,Flatlet,price
110280729,House,Suburban,08 August 2021,1 403 m²,350 m²,R 1 182,Yes,5,3,"Bath, Shower","Laundry, Eye Level Oven, Dishwasher Connection, Granite Tops",2,8,Parking features,Carport,Yes,Yes,"Conventional, Colonial",North,"Tile, Concrete, Insulation",Plaster,"Carpets, Tiled Floors","Electric Garage, Electric Gate, Electric fencing, Perimeter Wall",Yes,R 2 349 000
Listing Number,Type of Property,Listing Date,Levies,Rates and Taxes,Bedrooms,Bedroom 1,Bedroom 2,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Garage,Garage,Garage,Parking,Gardens,Nearby Public Transport,Wheelchair Accessible,price
110280544,Apartment / Flat,08 August 2021,R 1 236,R 530,2,"Tiled Floors, Curtain Rails, TV Port, Built-in Cupboards, King Bed","Tiled Floors, Curtain Rails, TV Port, Built-in Cupboards, King Bed",2,"Tiled Floors, Basin, Bath, Shower, Shower, Toilet and Basin, Bath, Toilet and Basin, Toilet","Tiled Floors, Basin, Main en Suite, Bath, Shower, Shower, Toilet and Basin, Bath, Toilet and Basin","Stove, Tiled Floors, Built-in Cupboards, Veranda",2,,Covered,1,1,"Bus, Minibus Taxi",Yes,R 980 000
Listing Number,Type of Property,Listing Date,Floor Size,Price per m²,Levies,Rates and Taxes,Pets Allowed,Bedroom,Bathrooms,Kitchens,Lounges,Dining Rooms,Garage,price,Street Address
110280524,Apartment / Flat,08 August 2021,70 m²,R 13 929,R 1 461,R 446,No,1,1,1,1,1,1,R 975 000,"42 8th, Linden"
Listing Number,Type of Property,Listing Date,Levies,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Kitchen,Lounge,Parking,Parking,Parking,Pool,Security,Security,Special Feature,price
110280359,Apartment / Flat,08 August 2021,R 936,R 468,Yes,2,1,1,1,2,2,,1,1,"Security Gate, Closed Circuit TV, 24 Hour Access","Satellite Dish, Balcony",R 1 036 600
Listing Number,Type of Property,Description,Lifestyle,Listing Date,Floor Size,Price per m²,Levies,Rates and Taxes,Pets Allowed,Furnished,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Bathroom 3,Kitchen,Lounge,Dining Room,Parking,Garden,Standalone Building,Security,Internet Access,Wheelchair Accessible,price,Street Address
110280251,Apartment / Flat,Ground Floor,"River frontage, Security Complex, Mountain",08 August 2021,133 m²,R 14 887,R 4 000,R 1 000,Yes,Optional,3,"Carpets, Balcony, Air Conditioner, Blinds, Curtain Rails, Fan, Built-in Cupboards, King Bed, Strong Room","Carpets, Balcony, Air Conditioner, Curtain Rails, Built-in Cupboards, King Bed","Carpets, Air Conditioner, Curtain Rails, Fan, Open Plan, Built-in Cupboards, Double Bed, Strong Room",3,"Tiled Floors, Blinds, Curtain Rails, Bath, Toilet and Basin","Tiled Floors, Shower, Toilet and Basin","Tiled Floors, Blinds, Curtain Rails, Bath, Toilet and Basin","Breakfast Nook, Open Plan, Pantry, Scullery, Stove, Extractor Fan, Fridge, Dishwasher Connection, Granite Tops, Washing Machine Connection, Tiled Floors, Air Conditioner, Curtain Rails, Open Plan, Built-in Cupboards, Under Counter Oven","Tiled Floors, Balcony, Air Conditioner, Curtain Rails, Open Plan","Tiled Floors, Air Conditioner, Open Plan","Visitors Parking, Carport, Secure Parking","Communal, Landscaped",No,"Totally Fenced, Electric Gate, Security Gate, 24 Hour Response, Intercom, Closed Circuit TV, Burglar Bars, 24 Hour Access, Guard House, Guard, Electric fencing, Perimeter Wall, Safe",Fibre,No,R 1 980 000," World's View, 13 Rockey Drive, Northcliff"
Listing Number,Type of Property,Listing Date,Bedrooms,Bedroom 1,Bedroom 1,Bedroom 2,Bedroom 2,Bedroom 3,Bedroom 3,Bedroom 4,Bedroom 4,Bathrooms,Bathroom 1,Bathroom 1,Bathroom 2,Bathroom 2,Kitchen,Kitchen,Domestic Rooms,Lounge,Lounge,Dining Room,Dining Room,Other,Other,Parking,Parking 1,Parking 1,Parking 2,Parking 2,Parking 3,Parking 3,Secure Parking,Garden,Garden,Outbuildings,Outbuilding 1,Outbuilding 1,Outbuilding 2,Outbuilding 2,Outbuilding 3,Outbuilding 3,Outbuilding 4,Outbuilding 4,Security,Security,Security,price
110280236,House,08 August 2021,4,Bedroom 1,"Curtain Rails, TV Port",Bedroom 2,"Parquet Floors, Curtain Rails",Bedroom 3,"Parquet Floors, Curtain Rails",Bedroom 4,"Tiled Floors, Curtain Rails, Internet Port",2,Bathroom 1,"Basin, En suite, Toilet",Bathroom 2,"Basin, Bath",Kitchen,"Breakfast Nook, Scullery, Granite Tops, Open Plan, Gas Hob",1,Lounge,"Tiled Floors, Curtain Rails, TV Port, Open Plan",Dining Room,"Tiled Floors, Blinds, Open Plan",Office Flatlet Second House,"Bath, Garden Services, Toilet",3,Parking 1,"Carport, Secure Parking",Parking 2,"Carport, Secure Parking",Parking 3,"Carport, Secure Parking",3,Garden,"Immaculate Condition, Landscaped",4,Outbuilding 1,"Staff Quarters/Domestic Rooms, Workshop",Outbuilding 2,Storeroom,Outbuilding 3,Storeroom,Outbuilding 4,"Workshop, Outside Toilets",Security,"Electric Gate, Intercom, Burglar Bars","Electric Gate, Intercom, Burglar Bars",R 2 350 000
Listing Number,Type of Property,Listing Date,Erf Size,Levies,Pets Allowed,Bedrooms,Bathrooms,Kitchens,Domestic Rooms,Lounges,Dining Rooms,Garage,Garden,Pool,price
110279117,House,07 August 2021,428 m²,R 3 188,Yes,3,2,1,1,1,1,2,Yes,Yes,R 3 800 000
