data_house
Listing Number,Type of Property,Listing Date,Erf Size,Floor Size,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Parking,Gardens,Pools,Street Address
110274921,House,05 August 2021,1 025 m²,700 m²,R 800,Yes,4,3,4,1,1," 55 Palliser, Eden Glen"
Listing Number,Type of Property,Listing Date,Floor Size,Price per m²,Pets Allowed,Bedrooms,Bedroom 1,Bedroom 2,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Parking,Parking,Pool,Security,Special Features
110274684,Apartment / Flat,05 August 2021,79 m²,R 12 532,Yes,2,Built-in Cupboards,Built-in Cupboards,2,Tiled Floors,Tiled Floors,Built-in Cupboards,Open Plan,+ visitors parking area,Carport,Communal Pool,"24 Hour Response, 24 Hour Access, Guard House, Guard",Pet friendly complex; Corner Duplex; Jungle gyms
Listing Number,Type of Property,Listing Date,Erf Size,Rates and Taxes,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Bathroom 3,Kitchen,Kitchen,Lounge,Dining Room,Family/TV Room,Bar,Garage,Garage,Garage,Parking,Pool,Security,Special Features
110274321,House,05 August 2021,848 m²,R 2 036,3,Bedroom 1,Bedroom 2,Bedroom 3,3,Bathroom 1,Bathroom 2,Bathroom 3,Kitchen,Breakfast Nook,Lounge,Dining Room,Family T V Room,Bar,2,Garage,"Double, Electric Door",Parking,Pool,Security,Special Features
Listing Number,Type of Property,Listing Date,Erf Size,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Kitchens,Domestic Rooms,Lounges,Dining Rooms,Garage,Parking,Garden,Pool
110274289,House,05 August 2021,991 m²,R 1 563,Yes,4,2,1,1,1,1,2,2,Yes,Yes


Listing Number,Type of Property,Listing Date,Erf Size,Levies,Rates and Taxes,Bedrooms,Bathrooms,Bathrooms,Bathrooms,Kitchens,Office/studies,Domestic Rooms,Lounges,Dining Rooms,Family/TV Rooms,Entrance Halls,Garage,Garage 3,Garage 4,Garage 5,Gardens,Pools,Outbuilding,Nearby Public Transport,Internet Access
110273746,House,05 August 2021,991 m²,R 535,R 1 680,4,3,,Main en Suite,1,1,1,1,1,1,1,5,Carport,Carport,Carport,1,1,Staff Quarters/Domestic Rooms,Minibus Taxi,Fibre
Listing Number,Type of Property,Listing Date,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Dining Room,Parking,Parking 1,Parking 2,Garden,Pool,Pool,Security,Special Featuress,Internet Access,Street Address
110273191,Apartment / Flat,05 August 2021,3,"Tiled Floors, Curtain Rails, Built-in Cupboards, Queen Bed","Tiled Floors, Curtain Rails, Built-in Cupboards, Queen Bed","Tiled Floors, Curtain Rails, Built-in Cupboards, King Bed",2,"Tiled Floors, Bath, Blinds, Shower, Toilet and Basin","Tiled Floors, Main en Suite, Shower, Toilet and Basin","Open Plan, Extractor Fan, Fridge, Dishwasher Connection, Granite Tops, Washing Machine Connection, Tiled Floors, Tumble Dryer, Blinds, Open Plan, Built-in Cupboards, Gas Hob, Under Counter Oven","Patio, Tiled Floors, Curtain Rails, Internet Port, TV Port, Open Plan","Patio, Tiled Floors, Open Plan",2,"Visitors Parking, Carport, Secure Parking","Visitors Parking, Carport, Secure Parking","Communal, Garden Services, Landscaped","Lifestyle center with a fully equipped gym, pool and play ground area for children","Fenced, Communal Pool","Electric Gate, Security Gate, Intercom, Burglar Bars, 24 Hour Access, Guard House, Guard, Electric fencing, Perimeter Wall",1,Fibre," 101 Stoneridge Drive, Greenstone Crest"
Listing Number,Type of Property,Listing Date,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Reception Rooms,Lounge,Garage,Garden,Street Address
110273004,House,05 August 2021,358 m²,726 m²,R 1 850,R 1 900,Yes,3,2.5,3,3 Lounge,2,Yes,"3 lisbon, Greenstone Hill"
Listing Number,Type of Property,Listing Date,Levies,Rates and Taxes,Bedrooms,Bathrooms,Kitchens,Lounges,Dining Rooms,Parking,Security
110272655,Apartment / Flat,05 August 2021,R 651,R 370,1,1,1,1,1,Shade net covered,24 Hour Access
Listing Number,Type of Property,Listing Date,Erf Size,Levies,Rates and Taxes,Pets Allowed,Bedrooms,Bathrooms,Bathrooms,Kitchens,Lounge,Dining Room,Family/TV Room,Rooms,Garage,Garden,Pool,Security,Special Feature
110272434,House,05 August 2021,991 m²,R 535,R 1 680,Yes,4,3,"Main en Suite, Guest Toilet",1,1,1,1,Patio,2,Yes,Yes,"Security Gate, Guard House","Built in Braai, Paveway"
Listing Number,Type of Property,Listing Date,Levies,Pets Allowed,Bedrooms,Bathrooms,Kitchens,Office,Domestic Rooms,Lounges,Dining Rooms,Garage,Pool
110271227,House,05 August 2021,R 1 609,Yes,4,4,1,1,1,1,1,1,Yes
Listing Number,Type of Property,Listing Date,Floor Size,Rates and Taxes,Pets Allowed,Bedrooms,Bedrooms,Bathrooms,Bathrooms,Domestic Rooms,Reception Rooms,Garage,Pool,Flatlet
110270749,House,05 August 2021,801 m²,R 2 025,Yes,3,"Laminated floors, Air-Conditioner in master bed...",2.5,"Main en-suite with shower and bath, Second bath...",1,3,2,Yes,Yes
