data_house
Listing Number,Type of Property,Listing Date,Erf Size,Rates and Taxes,Bedrooms,Bathrooms,Kitchens,Office/studies,Family/TV Rooms,Bars,Entrance Halls,Other,Garage,Parking,Gardens,Pools,Security,Street Address
110270232,House,05 August 2021,1 552 m²,R 3 500,4,3,1,1,1,1,1,1,2,2,1,1,1," 26 Bonnie Doon Place, Bonnie Doon"
Listing Number,Type of Property,Description,Lifestyle,Listing Date,Erf Size,Floor Size,Levies,Special Levy,Rates and Taxes,Pets Allowed,Coverage,Bedrooms,Bedroom 1,Bedroom 2,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Dining Room,Garage,Parking,Facing,Wall,Standalone Building,Security,Nearby Public Transport,Wheelchair Accessible,Generator,Backup Water
110270228,House,Multi Storey,Complex,05 August 2021,537 m²,117 m²,R 900,R 0,R 733,No,21 %,2,"Wooden Floors, Curtain Rails, Built-in Cupboards, Laminated Floors","Wooden Floors, Curtain Rails",2,"En suite, Shower, Toilet and Basin","Full, Guest Toilet, Shower, Bath, Toilet and Basin",Tiled Floors,"Wooden Floors, Balcony, Curtain Rails",Tiled Floors,"Roll up, Single","Secure Parking, Single",Level Road,Plaster,No,Security Gate,Minibus Taxi,No,No,No
Listing Number,Type of Property,Description,Listing Date,Erf Size,Pets Allowed,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bedroom 4,Bedroom 5,Bedroom 6,Bedroom 7,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Garden,Security,Special Featuress,Special Features 1,Special Features 2
110270179,House,Single Storey,05 August 2021,310 m²,Yes,7, , , , , , , ,2,"Shower, Toilet and Basin",Toilet, ,Yes,Burglar Bars,2,Floors,Windows
Listing Number,Type of Property,Listing Date,Pets Allowed,Bedrooms,Bathrooms,Lounges,Garage,Parking,Flatlet
110269856,House,04 August 2021,No,2,1,1,1,1,Yes
Listing Number,Type of Property,Listing Date,Erf Size,Rates and Taxes,Age,Pets Allowed,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bedroom 4,Bathrooms,Bathroom 1,Bathroom 2,Bathroom 3,Kitchen,Domestic Bathrooms,Reception Rooms,Lounge,Dining Room,Entrance Hall,Other,Other 1,Other 2,Other 3,Garage,Parking,Garden,Pool,Security,Special Featuress,Special Features 1,Special Features 2,Special Features 3,Special Features 4,Special Features 5,Special Features 6
110269626,House,04 August 2021,1 702 m²,R 2 489,23,Yes,4,"Main bedroom with en-suite bathroom, sliding doors, built-in cupboards and carpeted floors","Bedroom 2 with ceiling fan, built-in cupboards and carpeted floors",Bedroom 3 with built-in cupboards and carpeted floors,"Bedroom 4 with ceiling fan, built-in cupboards and carpeted floors",2,"Bathroom 1 with basin, bath, shower, toilet and tiled floors","Bathroom 2 with basin, shower over bath, toilet and tiled floors","Bathroom 3 with basin, toilet and tiled floors","Kitchen with tiled floors, granite tops, eye-level oven and gas hob",1,3,Formal lounge with carpeted floors,Dining room with chandelier and tiled floors,Entrance hall with tiled floors,3,Living room with ceiling fan and carpeted floors,Storeroom,Scullery with tiled floors and granite tops,2,2,Garden,Salt / swimming pool(s),"Security including alarm, automatic gates, burglar bars, CCTV cameras and electronic beams",6,Tiled roof,Face brick walls,Wood windows,General building features including wheelchair access,Palisade fence boundary,"Exterior features including undercover patio, water tank and wooden deck"
Listing Number,Type of Property,Listing Date,Erf Size,Bedrooms,Bathrooms,Garage
110268795,House,04 August 2021,347 m²,11,9,12
