data_house
Listing Number,Type of Property,Description,Listing Date,Erf Size,Floor Size,Rates and Taxes,Pets Allowed,Coverage,Bedrooms,Bedroom 1,Bedroom 2,Bathroom,Kitchen,Lounge,Dining Room,Dining Room,Parking,Facing,Roof,Wall,Window,Standalone Building,Security,Special Features,Backup Water
110274083,House,"Single Storey, Freestanding",05 August 2021,992 m²,140 m²,R 350,Yes,14 %,2,"Tiled Floors, Curtain Rails, Built-in Cupboards, Queen Bed","Tiled Floors, Curtain Rails, Built-in Cupboards, Double Bed","Tiled Floors, Full, Curtain Rails","Open Plan, Fridge, Tiled Floors, Curtain Rails","Tiled Floors, Curtain Rails, Open Plan",built-in braai,"Tiled Floors, Curtain Rails, Open Plan","Carport, Double",Level Road,Tile,Face-brick,Steel ,Yes,1,"Built in Braai, Water Tanks",Yes
Listing Number,Type of Property,Description,Lifestyle,Listing Date,Erf Size,Floor Size,Rates and Taxes,Pets Allowed,Coverage,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Dining Room,Braai Rooms,Entrance Hall,Other,Parking,Parking,Parking,Gardens,Outbuildings,Outbuilding 1,Outbuilding 2,Size of Outbuildings,Style,Facing,Roof,Wall,Window,Standalone Building,Security,Temperature Control,Special Features,Flatlet,Nearby Public Transport,Wheelchair Accessible,Backup Water
110274021,House,"Single Storey, Freestanding",Suburban,05 August 2021,1 007 m²,250 m²,R 1 000,Yes,24 %,3,"Tiled Floors, Curtain Rails, Fan, Built-in Cupboards, King Bed","Tiled Floors, Curtain Rails, Fan, Built-in Cupboards, King Bed","Tiled Floors, Curtain Rails, Fan, Built-in Cupboards, Double Bed",2,"Tiled Floors, Basin, Shower, Curtain Rails, Toilet","Tiled Floors, Basin, Bath, Shower, Curtain Rails, Toilet","Eye Level Oven, Dishwasher Connection, Washing Machine Connection, Tiled Floors, Built-in Cupboards, Country Style","Tiled Floors, Curtain Rails, Fan, Fireplace","Tiled Floors, Curtain Rails, Fan",1,Tiled Floors,"Tiled Floors, Veranda",2,,"Carport, Double",1,2,Granny flat,Granny flat,70 m²,"Conventional, A-frame","East, Level Road",Iron,Plaster,Wood,Yes,"Totally Fenced, Security Gate, Burglar Bars, Perimeter Wall","Cooling Fans, Fireplace","Built in Braai, Sprinkler System, Totally Walled",Yes,"Bus, Minibus Taxi",Yes,No
Listing Number,Type of Property,Description,Lifestyle,Listing Date,Erf Size,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Bar,Entrance Hall,Garage,Garage,Garage,Parking,Garden,Outbuildings,Outbuildings,Outbuildings,Style,Facing,Roof,Wall,Window,Security,Temperature Control,Special Features,Second House
110273984,House,Smallholding,Country Living,05 August 2021,4.28 m²,3,"Wooden Floors, Built-in Cupboards, Double Bed","Wooden Floors, Built-in Cupboards, King Bed","Wooden Floors, Built-in Cupboards, Double Bed",2,"Tiled Floors, Separate Toilet, Shower, Bath, Toilet and Basin","Tiled Floors, Main en Suite, Shower, Bath, Toilet and Basin","Scullery, Stove, Stove (Oven & Hob), Dishwasher Connection, Washing Machine Connection, Tiled Floors, Built-in Cupboards",Wooden Floors,"Wooden Floors, Bar Counter",Wooden Floors,2,,"Double, Roll up",4,"Borehole, Irrigation system",2,,"Workshop, Office, Second House, Covered Patio",Traditional,North,Zinc,Plaster,Steel ,"Electric Gate, Security Gate, 24 Hour Response, Burglar Bars",Fireplace,"Borehole, Built in Bar, Wendy House, Sprinkler System",Yes
Listing Number,Type of Property,Listing Date,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Garage,Gardens
110273950,House,05 August 2021,3,Built-in Cupboards,Built-in Cupboards,Built-in Cupboards,2,Full,"Full, Separate Toilet","Stove (Oven & Hob), Granite Tops",1,1
Listing Number,Type of Property,Description,Listing Date,Pets Allowed,Bedrooms,Bathrooms,Kitchens,Dining Rooms,Family/TV Rooms,Garage,Parking,Gardens,Roof,Wall,Window,Standalone Building,Security
110273919,House,"Single Storey, Smallholding",05 August 2021,Yes,4,3,1,1,1,1,1,1,Tile,Brick,Steel ,Yes,1
Listing Number,Type of Property,Listing Date,Rates and Taxes,Bedrooms,Bathrooms,Kitchens,Garage,Generator
110273887,House,05 August 2021,R 200,3,2,1,2,No
Listing Number,Type of Property,Description,Lifestyle,Listing Date,Erf Size,Floor Size,Rates and Taxes,Pets Allowed,Coverage,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bedroom 4,Bedroom 5,Bedroom 6,Bedroom 7,Kitchens,Size of Outbuildings,Roof,Standalone Building,Nearby Public Transport,Internet Access,Street Address
110273831,House,Single Storey,"University/College Community, Student Accommodation",05 August 2021,808 m²,250 m²,R 4 200,No,30 %,7,"Tiled Floors, Built-in Cupboards, Double Bed","Built-in Cupboards, Double Bed","Built-in Cupboards, Double Bed","Built-in Cupboards, Double Bed",Single Bed,Single Bed,Single Bed,1,120 m²,Tile,Yes,"Bus, Minibus Taxi",ADSL," 12 Huguenot Street, Willows"
Listing Number,Type of Property,Listing Date,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Domestic Bathrooms,Lounge,Dining Room,Garage,Parking,Garden,Outbuilding,Security,Backup Water
110273634,House,05 August 2021,3,"Carpets, Curtain Rails, Fan, Built-in Cupboards, Double Bed","Carpets, Curtain Rails, Built-in Cupboards, Double Bed","Carpets, Curtain Rails, Built-in Cupboards, Double Bed",2,"Tiled Floors, Basin, Bath, Shower, Curtain Rails, En suite, Toilet","Tiled Floors, Curtain Rails, Bath, Toilet and Basin","Laundry, Stove (Oven & Hob), Dishwasher Connection, Washing Machine Connection, Tiled Floors, Tumble Dryer, Built-in Cupboards",1,"Patio, Tiled Floors, Curtain Rails","Tiled Floors, Curtain Rails","Double, Electric Door",Double,Irrigation system,"Covered Patio, Domestic Bathroom","Totally Fenced, Electric Garage, Security Gate, Alarm System, Burglar Bars",Yes
Listing Number,Type of Property,Listing Date,Levies,Rates and Taxes,Street Address
110273615,Apartment / Flat,05 August 2021,R 1 023,R 885," Springfield,
5 Paddy Goodrick Street, Pentagon Park"
Listing Number,Type of Property,Description,Listing Date,Erf Size,Rates and Taxes,Pets Allowed,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bedroom 3,Bedroom 4,Bedroom 4,Bathrooms,Bathroom 1,Bathroom 2,Bathroom 3,Bathroom 4,Bathroom 5,Kitchen,Office/study,Lounge,Dining Room,Family/TV Room,Garage,Garage 1,Garage 2,Garage 2,Garden,Pool,Outbuilding,Outbuilding,Style,Facing,Roof,Wall,Window,Standalone Building,Temperature Control,Special Features,Internet Access,Backup Water
110273303,House,Freestanding,05 August 2021,2 089 m²,R 1 500,Yes,4,"Tiled Floors, Air Conditioner, Blinds, Curtain Rails, Open Plan, Walk-in-closet, King Bed","Tiled Floors, Air Conditioner, Blinds, Curtain Rails, Built-in Cupboards, Queen Bed",Extra space for sitting area,"Tiled Floors, Air Conditioner, Blinds, Curtain Rails, Open Plan, Built-in Cupboards, King Bed",Kitchenette,"Tiled Floors, Blinds, Built-in Cupboards, Double Bed",5,"Tiled Floors, Shower, Blinds, Bath, Toilet and Basin","Tiled Floors, Blinds, Shower, Toilet and Basin","Tiled Floors, Blinds, Shower, Toilet and Basin","Tiled Floors, Shower, Blinds, Bath, Toilet and Basin","Tiled Floors, Blinds, Shower, Toilet and Basin","Open Plan, Scullery, Laundry, Stove (Oven & Hob), Extractor Fan, Fridge, Dishwasher Connection, Granite Tops, Washing Machine Connection, Tiled Floors, Tumble Dryer, Built-in Cupboards, Centre Island",Tiled Floors,"Blinds, Curtain Rails, Fireplace, Open Plan, Laminated Floors","Open Plan, Laminated Floors","Patio, Tiled Floors, Blinds, Curtain Rails, Open Plan",3,"Electric Door, Tandem",Boat storage and work space,"Double, Roll up, Workshop","Irrigation system, Immaculate Condition, Landscaped, Garden Terrace","Gunite in Ground, Auto Cleaning Equipment",Entertainment area at the swimming pool,Clubhouse ,"Contemporary, Open Plan",North,Tile,Brick,Aluminium,Yes,"Air Conditioning Unit, Fireplace","Built in Braai, Satellite Dish, Open Plan, Subdivision Rights, Sliding Doors, Water Tanks, Sprinkler System",Fibre,Yes
Listing Number,Type of Property,Listing Date,Bedrooms,Bedroom 1,Bedroom 2,Bedroom 3,Bathrooms,Bathroom 1,Bathroom 2,Kitchen,Lounge,Dining Rooms,Entrance Halls,Garage,Gardens,Outbuilding,Outbuilding,Special Features,Flatlet,Flat Description
110273248,House,05 August 2021,3,"Carpets, Fan, Built-in Cupboards","Carpets, Fan, Built-in Cupboards","Carpets, Fan, Built-in Cupboards",2,"Bath, Shower, Toilet and Basin","Separate Toilet, En suite","Scullery, Laundry, Stove, Built-in Cupboards",Fireplace,1,1,Double,1,"Own entrance, garage. Bathroom with bath and shower.",Granny flat,Water Tanks,Yes,"Own entrance, garage. Bathroom with bath and sh..."
