Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Lounge,Garage,Garden,price,Erf Size,Kitchen,Pool,Dining Room,Parking,Bathroom,Bedroom
1.0,71.0,1952.0,414.0,1,1.0,0.0,0.0,990000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,200.0,1,0.0,2.0,1.0,900000,375.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,282.0,650.0,900.0,1,0.0,1.0,0.0,890000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,3666.0,1,0.0,2.0,1.0,2950000,1.0,0.0,1.0,1.0,0.0,3.0,1.0
0.0,282.0,540.0,2400.0,1,0.0,0.0,1.0,3300000,2.0,1.0,1.0,1.0,8.0,3.0,1.0
0.0,282.0,4450.0,2800.0,1,0.0,2.0,1.0,4300000,470.0,1.0,1.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1228.0,1,1.0,1.0,1.0,1350000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,79.0,1932.0,1151.0,1,0.0,0.0,1.0,1599000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
2.0,80.0,1126.0,559.0,1,1.0,2.0,1.0,1095000,94.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,4150.0,1,0.0,2.0,0.0,3600000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,414.0,4294.0,3000.0,0,1.0,2.0,0.0,6500000,9102.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,250.0,1932.0,1000.0,1,0.0,0.0,1.0,2695000,505.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,467.0,1932.0,2035.0,1,1.0,3.0,1.0,2950000,871.0,0.0,0.0,1.0,2.0,3.0,1.0
0.0,118.0,1932.0,703.0,1,1.0,1.0,1.0,1850000,140.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,6000.0,1400.0,1,0.0,0.0,0.0,3300000,480.0,0.0,1.0,0.0,7.0,3.0,1.0
0.0,282.0,1932.0,567.0,1,0.0,0.0,0.0,900000,377.0,1.0,0.0,1.0,0.0,3.0,1.0
2.0,282.0,1932.0,1151.0,1,0.0,2.0,1.0,3100000,300.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,74.0,2172.0,1147.0,1,1.0,0.0,0.0,2390000,9102.0,1.0,1.0,0.0,1.0,3.0,1.0
2.0,282.0,1443.0,1151.0,1,0.0,0.0,0.0,1095000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,991.0,1932.0,1680.0,1,0.0,2.0,1.0,3100000,9102.0,1.0,0.0,1.0,2.0,3.0,1.0
0.0,249.0,1932.0,1087.0,1,0.0,2.0,1.0,2695000,1.0,0.0,0.0,1.0,0.0,3.0,1.0
2.0,70.0,200.0,700.0,1,1.0,2.0,0.0,990000,101.0,0.0,0.0,1.0,2.0,3.0,1.0
1.0,282.0,1190.0,342.0,1,1.0,0.0,0.0,645000,9102.0,1.0,0.0,1.0,1.0,3.0,1.0
1.0,78.0,1500.0,500.0,0,1.0,0.0,0.0,645000,78.0,0.0,0.0,0.0,1.0,3.0,1.0
2.0,89.0,1400.0,410.0,1,1.0,1.0,1.0,890000,9102.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,71.0,2100.0,800.0,1,0.0,0.0,0.0,900000,9102.0,0.0,1.0,0.0,0.0,3.0,1.0
2.0,174.0,1008.0,1151.0,1,1.0,2.0,1.0,1850000,174.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,1.0,2950000,981.0,1.0,0.0,0.0,6.0,3.0,1.0
0.0,360.0,1932.0,1901.0,1,0.0,0.0,0.0,2660000,714.0,2.0,0.0,0.0,0.0,3.0,1.0
1.0,72.0,1497.0,642.0,1,0.0,0.0,0.0,1350000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,1.0,1850000,1.0,0.0,0.0,1.0,6.0,3.0,1.0
0.0,530.0,1932.0,2395.0,1,1.0,2.0,1.0,3650000,1.0,1.0,1.0,1.0,7.0,3.0,1.0
2.0,116.0,2500.0,670.0,1,1.0,2.0,1.0,1095000,9102.0,1.0,0.0,1.0,2.0,3.0,1.0
0.0,380.0,1932.0,2400.0,1,0.0,0.0,0.0,2990000,1.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,77.0,2270.0,563.0,1,1.0,0.0,0.0,860000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,105.0,1572.0,650.0,1,0.0,1.0,1.0,2190000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,0.0,4600000,801.0,1.0,0.0,1.0,2.0,3.0,1.0
2.0,288.0,1932.0,1151.0,1,0.0,0.0,0.0,3600000,1.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1030.0,1,0.0,1.0,1.0,4300000,967.0,0.0,0.0,0.0,7.0,3.0,1.0
1.0,129.0,1800.0,300.0,0,0.0,0.0,0.0,890000,9102.0,1.0,0.0,1.0,0.0,3.0,3.5
2.0,71.0,1932.0,556.0,0,0.0,0.0,1.0,860000,7.0,1.0,0.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1700.0,1,0.0,2.0,1.0,1850000,924.0,0.0,0.0,1.0,0.0,3.0,1.0
1.0,282.0,1600.0,650.0,1,0.0,0.0,0.0,1850000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,714.0,1,0.0,1.0,1.0,990000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,1599000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,180.0,1932.0,500.0,1,0.0,0.0,0.0,2390000,331.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,68.0,1723.0,568.0,0,0.0,1.0,0.0,890000,9102.0,0.0,0.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1066.0,1,0.0,0.0,0.0,2990000,662.0,1.0,0.0,1.0,3.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,0.0,3600000,515.0,0.0,0.0,0.0,2.0,3.0,1.0
0.0,474.0,1900.0,700.0,0,0.0,3.0,0.0,2950000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
2.0,105.0,1208.0,700.0,0,0.0,0.0,0.0,990000,9102.0,1.0,0.0,0.0,2.0,3.0,1.0
1.0,101.0,1374.0,338.0,0,0.0,0.0,0.0,645000,9102.0,0.0,0.0,1.0,0.0,3.0,1.0
1.0,174.0,1050.0,1151.0,0,0.0,0.0,1.0,1350000,9102.0,1.0,0.0,1.0,2.0,3.0,1.0
1.0,123.0,1200.0,730.0,0,0.0,1.0,0.0,890000,9102.0,0.0,1.0,1.0,1.0,3.0,1.0
2.0,160.0,1932.0,1151.0,1,0.0,1.0,0.0,900000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,298.0,2689.0,1423.0,1,0.0,0.0,0.0,2695000,794.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,0.0,2999000,625.0,1.0,0.0,0.0,3.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,1.0,900000,707.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,410.0,1,0.0,2.0,0.0,900000,661.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,2950000,1.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,0,0.0,1.0,0.0,1350000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,1.0,3650000,496.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,155.0,1895.0,1620.0,1,0.0,2.0,1.0,1850000,12.0,0.0,0.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,1.0,1.0,1850000,9102.0,2.0,0.0,0.0,3.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,1.0,1.0,860000,1.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,282.0,175.0,600.0,1,0.0,2.0,1.0,1599000,9102.0,1.0,0.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1151.0,0,0.0,0.0,1.0,1350000,9102.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,71.0,2269.0,1013.0,0,0.0,0.0,0.0,1599000,9102.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,718.0,1,1.0,0.0,1.0,1599000,1.0,0.0,1.0,1.0,10.0,3.0,1.0
1.0,109.0,1400.0,650.0,1,0.0,1.0,1.0,1095000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,0.0,900000,353.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,890000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,820.0,700.0,1,0.0,1.0,0.0,890000,9102.0,1.0,0.0,0.0,1.0,3.0,1.0
0.0,570.0,3620.0,2550.0,1,0.0,2.0,1.0,4300000,1.0,0.0,0.0,1.0,0.0,3.0,1.0
2.0,282.0,1932.0,1151.0,0,0.0,0.0,0.0,990000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,49.0,1634.0,560.0,0,0.0,0.0,0.0,1095000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1000.0,1,0.0,0.0,0.0,2950000,173.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,290.0,2250.0,1600.0,1,0.0,2.0,1.0,3300000,752.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,0.0,0.0,890000,1.0,0.0,0.0,1.0,0.0,3.0,1.0
